ID,TIRE,TPOP,NGRW,PGRW,OCTY,OPOP,LANDV,ELD,FFRAC,PINC,LNHDD
460089,1,1.36,-0.18700001,0,0.075999998,0.17910001,0.213,0.20163894,0.85699999,4.277,9.0560226
460095,0,0.56099999,-0.056000002,0,0.079999998,0.1013,0.141,0.11560693,0.84500003,3.5810001,8.8957663
460107,2,1.623,-0.292,0,0.039999999,0.161,0.303,0.17637452,0.97100002,4.7589998,9.0560226
460115,3,3.027,0,0.083999999,0.23,0.27489999,0.336,0.16280839,0.97100002,5.1409998,9.0560226
460119,0,0.85100001,0,0.066,0.101,0.080899999,0.29800001,0.13266331,0.935,4.7309999,9.0560226
460121,2,0.74800003,0,0.009,0.15899999,0.3299,0.15800001,0.052265283,1.204,3.1589999,8.8957663
480003,7,11.061,0,2.4360001,0.45899999,0.92047,0.141,0.075358406,0.72899997,7.0029998,7.8853292
480079,1,2.674,-0.064000003,0,0.162,0.205,0.301,0.1065285,0.82499999,5.6240001,8.1650791
480101,2,2.2160001,0,0.164,0.046999998,0.049479999,0.228,0.22633186,0.82700002,7.263,8.1650791
480105,3,3.766,0,0.90200001,0.168,0.023559999,0.13500001,0.092664927,1.0470001,6.7670002,7.7463007
480109,5,2.7720001,-0.117,0,0.123,0.011,0.152,0.071493216,0.75800002,4.29,7.8875842
480111,4,6.8540001,0,1.149,0.38100001,0.088749997,0.31299999,0.1250957,0.889,5.2420001,8.350194
480115,5,11.79,0,0.23100001,0.52899998,1.59162,0.55599999,0.13056105,1.073,5.9829998,8.1650791
480125,1,1.6900001,-0.057,0,0.107,0.1084,0.193,0.22548743,0.94,4.7579999,8.1650791
480137,1,1.317,0,0.096000001,0.052999999,0.02592,0.204,0.14756517,0.81900001,4.9390001,7.3198647
480211,2,3.4909999,0,1.199,0.20299999,0.14919999,0.18000001,0.09294872,0.99400002,7.8080001,8.350194
480247,1,4.684,0,0.60500002,0.375,0.033769999,0.153,0.12906347,1.143,4.7719998,6.8308744
480267,3,2.5929999,-0.061000001,0,0.109,0.091109999,0.259,0.19714497,0.912,5.5349998,7.7463007
480307,5,5.9689999,0,0.412,0.115,0.72627002,0.31200001,0.24682313,1.041,5.414,7.7463007
480345,2,1.052,-0.039000001,0,0.048999999,0.026700001,0.17299999,0.24102564,0.815,5.9299998,8.1650791
480383,1,3.404,0,0.91500002,0.236,0.047910001,0.16599999,0.056831922,0.82099998,6.4660001,7.8853292
480421,2,1.9170001,-0.222,0,0.192,0.1045,0.42399999,0.12161311,0.99699998,10.504,8.350194
480431,0,0.91500002,0,0.13500001,0.017999999,0.02513,0.215,0.14593698,1.272,7.138,7.8853292
480443,0,1.2410001,0,0.012,0.079000004,0.011779999,0.082999997,0.13040753,0.88700002,7.0689998,7.3198647
480447,1,1.174,0,0.068999998,0.079000004,0.038479999,0.19400001,0.24890405,0.98699999,6.3969998,7.8713112
490013,5,3.842,0,1.837,0.49000001,0.54871994,0.419,0.067727819,0.18700001,5.5310001,8.6659584
490017,0,1.3430001,0,0.025,0.090999998,0.033769999,0.384,0.1184318,0.039000001,4.9689999,8.6659584
490019,5,5.3330002,0,0.54000002,0.433,0.06205,0.114,0.066011406,0.074000001,6.4949999,8.6659584
490033,0,0.65899998,0,0.15899999,0.25299999,0.074610002,0.13699999,0.092857145,0.755,5.8210001,8.8174458
490047,7,6.5999999,0,2.6919999,0.85399997,1.0508001,0.171,0.059592314,0.48800001,5.7680001,8.6659584
490055,0,0.36399999,0,0.039999999,0.072999999,0.34979999,0.36500001,0.13605443,0.059999999,4.6750002,8.6659584
510091,1,0.24699999,0,0.024,0.426,0.33829999,0.50999999,0.15798433,0.405,6.0469999,8.3717051
530019,3,1.018,0,0.156,0.226,0.1673,0.322,0.084322833,0.56400001,5.5830002,8.8366642
540071,1,0.77999997,0,0.085000001,0.60299999,0.91940004,0.56400001,0.15347661,0.48699999,4.618,8.5844784
560005,8,12.134,0,4.9400001,0.396,0.78819001,0.108,0.028440103,0.935,9.2449999,8.9414148
560007,7,11.547,0,3.6919999,0.58899999,0.80403,0.112,0.069099382,0.55599999,8.2270002,8.9414148
560009,2,6.0300002,0,3.3529999,0.76200002,0.42535001,0.1,0.055441041,0.89399999,8.1330004,8.9414148
560013,2,7.8670001,0,0.74199998,0.33199999,1.22251,0.134,0.069963068,0.39500001,7.2690001,8.9414148
560015,3,5.441,0,1.204,0.61500001,1.1889399,0.2,0.14709303,0.91799998,6.2740002,8.8969984
560017,5,3.852,0,0.78899997,0.18700001,0.066760004,0.093999997,0.16287215,0.78200001,7.0009999,8.9414148
560019,3,3.799,0,0.405,0.31900001,0.054189999,0.114,0.13835821,0.72299999,8.0229998,8.9414148
560027,1,1.65,0,0.155,0.071999997,0.033769999,0.104,0.17305061,0.82099998,6.4809999,8.9414148
560029,4,6.79,0,1.6289999,0.69,0.45486999,0.242,0.10370165,0.229,7.2140002,8.9414148
560033,7,15.146,0,4.29,1.268,1.2230999,0.24699999,0.11913127,0.847,7.7849998,8.9414148
560035,3,1.066,0,0.118,0.134,0.054189999,0.26800001,0.083333336,0.178,7.059,8.9414148
560039,5,4.5110002,0,1.823,0.192,0.1076,1.301,0.051950827,0.025,9.04,8.9414148
560041,8,6.421,0,1.959,1.081,0.56046999,0.193,0.059519239,0.58600003,7.5180001,8.9414148
560043,6,6.3909998,0,1.336,0.13600001,0.1076,0.26199999,0.097093515,0.259,7.066,8.9414148
560045,3,3.596,0,0.164,0.30199999,0.1139,0.090000004,0.092457078,0.95099998,7.3569999,8.9414148
